,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,Total_1600,num_of_sat_test_takers,dbn,District,School_Num,school_name,Zip,Nhood,Med Income,Latitude,Longitude
201,,,,,s,10X478,10,X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,-,-,-,-,-
202,348.0,362.0,354.0,710.0,68,10X546,10,X546,BRONX THEATRE HIGH SCHOOL,10463,Marble Hill-Inwood,52301,40.877105,-73.912256
203,372.0,379.0,364.0,751.0,55,10X549,10,X549,DISCOVERY HIGH SCHOOL,10468,Van Cortlandt Village,28765,40.870293,-73.898309
204,362.0,382.0,356.0,744.0,73,10X660,10,X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,-,-,-,-,-
205,350.0,356.0,317.0,706.0,10,10X667,10,X667,GRACE DODGE YABC,-,-,-,-,-
206,636.0,648.0,636.0,1284.0,92,10X696,10,X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,10468,Van Cortlandt Village,28765,40.873938,-73.895382
207,370.0,381.0,382.0,751.0,74,11X249,11,X249,BRONX HEALTH SCIENCES HIGH SCHOOL,10475,Co-op City,47895,40.874091,-73.833904
208,400.0,357.0,390.0,757.0,46,11X253,11,X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,10467,Williamsbridge-Olinville,35375,40.875953,-73.86197
209,377.0,391.0,367.0,768.0,81,11X265,11,X265,BRONX LAB SCHOOL,10467,Williamsbridge-Olinville,35375,40.875953,-73.86197
210,386.0,394.0,361.0,780.0,56,11X270,11,X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,10466,Williamsbridge-Olinville,48469,40.887831,-73.852694
211,381.0,376.0,354.0,757.0,72,11X275,11,X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,10467,Williamsbridge-Olinville,35375,40.875953,-73.86197
212,444.0,471.0,433.0,915.0,97,11X288,11,X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,10469,Bronxdale,57183,40.859665,-73.861006
213,387.0,365.0,383.0,752.0,69,11X290,11,X290,BRONX ACADEMY OF HEALTH CAREERS,10467,Williamsbridge-Olinville,35375,40.875953,-73.86197
214,387.0,391.0,391.0,778.0,60,11X299,11,X299,ASTOR COLLEGIATE ACADEMY,10469,Bronxdale,57183,40.859665,-73.861006
215,367.0,361.0,353.0,728.0,121,11X415,11,X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,-,-,-,-,-
216,,,,,s,11X417,11,X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,-,-,-,-,-
217,419.0,433.0,416.0,852.0,48,11X418,11,X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,10462,Pelham Parkway,46085,40.851405,-73.865036
218,386.0,397.0,368.0,783.0,189,11X455,11,X455,HARRY S TRUMAN HIGH SCHOOL,10475,Co-op City,47895,40.874091,-73.833904
219,,,,,s,11X456,11,X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,-,-,-,-,-
220,332.0,381.0,335.0,713.0,72,11X513,11,X513,NEW WORLD HIGH SCHOOL,10466,Williamsbridge-Olinville,48469,40.887831,-73.852694
221,377.0,372.0,363.0,749.0,48,11X514,11,X514,THE BRONXWOOD PREPARATORY ACADEMY,10466,Williamsbridge-Olinville,48469,40.887831,-73.852694
